"date_key","full_date","date_name","date_name_us","date_name_eu","day_of_week","day_name_of_week","day_of_month","day_of_year","weekday_weekend","week_of_year","month_name","month_of_year","is_last_day_of_month","calendar_quarter","calendar_year","calendar_year_month","calendar_year_qtr","fiscal_month_of_year","fiscal_quarter","fiscal_year","fiscal_year_month","fiscal_year_qtr"
"20050101","2005-01-01","2005/01/01","01/01/2005","01/01/2005","7","Saturday","1","1","Weekend","53","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050102","2005-01-02","2005/01/02","01/02/2005","02/01/2005","1","Sunday","2","2","Weekend","53","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050103","2005-01-03","2005/01/03","01/03/2005","03/01/2005","2","Monday","3","3","Weekday","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050104","2005-01-04","2005/01/04","01/04/2005","04/01/2005","3","Tuesday","4","4","Weekday","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050105","2005-01-05","2005/01/05","01/05/2005","05/01/2005","4","Wednesday","5","5","Weekday","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050106","2005-01-06","2005/01/06","01/06/2005","06/01/2005","5","Thursday","6","6","Weekday","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050107","2005-01-07","2005/01/07","01/07/2005","07/01/2005","6","Friday","7","7","Weekday","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050108","2005-01-08","2005/01/08","01/08/2005","08/01/2005","7","Saturday","8","8","Weekend","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050109","2005-01-09","2005/01/09","01/09/2005","09/01/2005","1","Sunday","9","9","Weekend","1","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050110","2005-01-10","2005/01/10","01/10/2005","10/01/2005","2","Monday","10","10","Weekday","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050111","2005-01-11","2005/01/11","01/11/2005","11/01/2005","3","Tuesday","11","11","Weekday","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050112","2005-01-12","2005/01/12","01/12/2005","12/01/2005","4","Wednesday","12","12","Weekday","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050113","2005-01-13","2005/01/13","01/13/2005","13/01/2005","5","Thursday","13","13","Weekday","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050114","2005-01-14","2005/01/14","01/14/2005","14/01/2005","6","Friday","14","14","Weekday","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050115","2005-01-15","2005/01/15","01/15/2005","15/01/2005","7","Saturday","15","15","Weekend","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050116","2005-01-16","2005/01/16","01/16/2005","16/01/2005","1","Sunday","16","16","Weekend","2","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050117","2005-01-17","2005/01/17","01/17/2005","17/01/2005","2","Monday","17","17","Weekday","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050118","2005-01-18","2005/01/18","01/18/2005","18/01/2005","3","Tuesday","18","18","Weekday","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050119","2005-01-19","2005/01/19","01/19/2005","19/01/2005","4","Wednesday","19","19","Weekday","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050120","2005-01-20","2005/01/20","01/20/2005","20/01/2005","5","Thursday","20","20","Weekday","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050121","2005-01-21","2005/01/21","01/21/2005","21/01/2005","6","Friday","21","21","Weekday","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050122","2005-01-22","2005/01/22","01/22/2005","22/01/2005","7","Saturday","22","22","Weekend","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050123","2005-01-23","2005/01/23","01/23/2005","23/01/2005","1","Sunday","23","23","Weekend","3","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050124","2005-01-24","2005/01/24","01/24/2005","24/01/2005","2","Monday","24","24","Weekday","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050125","2005-01-25","2005/01/25","01/25/2005","25/01/2005","3","Tuesday","25","25","Weekday","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050126","2005-01-26","2005/01/26","01/26/2005","26/01/2005","4","Wednesday","26","26","Weekday","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050127","2005-01-27","2005/01/27","01/27/2005","27/01/2005","5","Thursday","27","27","Weekday","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050128","2005-01-28","2005/01/28","01/28/2005","28/01/2005","6","Friday","28","28","Weekday","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050129","2005-01-29","2005/01/29","01/29/2005","29/01/2005","7","Saturday","29","29","Weekend","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050130","2005-01-30","2005/01/30","01/30/2005","30/01/2005","1","Sunday","30","30","Weekend","4","January","1","N","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050131","2005-01-31","2005/01/31","01/31/2005","31/01/2005","2","Monday","31","31","Weekday","5","January","1","Y","1","2005","2005-01","2005Q1","1","1","2005","2005-01","2005Q1"
"20050201","2005-02-01","2005/02/01","02/01/2005","01/02/2005","3","Tuesday","1","32","Weekday","5","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050202","2005-02-02","2005/02/02","02/02/2005","02/02/2005","4","Wednesday","2","33","Weekday","5","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050203","2005-02-03","2005/02/03","02/03/2005","03/02/2005","5","Thursday","3","34","Weekday","5","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050204","2005-02-04","2005/02/04","02/04/2005","04/02/2005","6","Friday","4","35","Weekday","5","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050205","2005-02-05","2005/02/05","02/05/2005","05/02/2005","7","Saturday","5","36","Weekend","5","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050206","2005-02-06","2005/02/06","02/06/2005","06/02/2005","1","Sunday","6","37","Weekend","5","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050207","2005-02-07","2005/02/07","02/07/2005","07/02/2005","2","Monday","7","38","Weekday","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050208","2005-02-08","2005/02/08","02/08/2005","08/02/2005","3","Tuesday","8","39","Weekday","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050209","2005-02-09","2005/02/09","02/09/2005","09/02/2005","4","Wednesday","9","40","Weekday","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050210","2005-02-10","2005/02/10","02/10/2005","10/02/2005","5","Thursday","10","41","Weekday","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050211","2005-02-11","2005/02/11","02/11/2005","11/02/2005","6","Friday","11","42","Weekday","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050212","2005-02-12","2005/02/12","02/12/2005","12/02/2005","7","Saturday","12","43","Weekend","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050213","2005-02-13","2005/02/13","02/13/2005","13/02/2005","1","Sunday","13","44","Weekend","6","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050214","2005-02-14","2005/02/14","02/14/2005","14/02/2005","2","Monday","14","45","Weekday","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050215","2005-02-15","2005/02/15","02/15/2005","15/02/2005","3","Tuesday","15","46","Weekday","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050216","2005-02-16","2005/02/16","02/16/2005","16/02/2005","4","Wednesday","16","47","Weekday","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050217","2005-02-17","2005/02/17","02/17/2005","17/02/2005","5","Thursday","17","48","Weekday","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050218","2005-02-18","2005/02/18","02/18/2005","18/02/2005","6","Friday","18","49","Weekday","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050219","2005-02-19","2005/02/19","02/19/2005","19/02/2005","7","Saturday","19","50","Weekend","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050220","2005-02-20","2005/02/20","02/20/2005","20/02/2005","1","Sunday","20","51","Weekend","7","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
"20050221","2005-02-21","2005/02/21","02/21/2005","21/02/2005","2","Monday","21","52","Weekday","8","February","2","N","1","2005","2005-02","2005Q1","2","1","2005","2005-02","2005Q1"
